ProductNumber,ProductDescription,QtyOrder,QtyShip,QtyAdjust,PricingUnit,UnitPrice,ExtendedPrice
7945058,"DEGREASER, AP VP3 LIQ JUG BLU",1,1,0,CS,47.9100,47.91
1049803,"LIME, #2 GRD 230-250 CT FRESH",2,2,0,CS,26.8100,53.62
1205582,"STRAWBERRY, CLMSHL FRESH REF",1,1,0,CS,44.1700,44.17
1326438,"ONION, GRN TRIMD ICELS FRESH",1,1,0,EA,8.3900,8.39
2326411,"LETTUCE, ICBRG FRESH REF BOX",2,2,0,CS,27.1500,54.30
2326445,"SALAD MIX, MESCLUN SPRG BAG",1,1,0,CS,16.2400,16.24
2326700,"POTATO, RUSET ID. 40 CT FRESH",4,4,0,CS,20.8400,83.36
2331353,"TOMATO, RND 5X6 #1 GRD FRESH",3,3,0,CS,32.5800,97.74
3016342,"ZUCCHINI, GRN MED FRESH REF",1,1,0,CS,19.5200,19.52
3037330,"PEPPER, CHILI SERRN FRESH REF",1,1,0,CS,22.8300,22.83
3331972,"MUSHROOM, WHT X-LG #1 GRD BOX",1,0,0,,0.0000,0.00
4230900,"CILANTRO, FRESH HERB",1,1,0,CS,25.0100,25.01
4725776,"CABBAGE, RED MED FRESH REF BAG",1,1,0,CS,17.0900,17.09
4731741,"TOMATO, GRAPE RED FRESH REF",1,1,0,CS,19.3200,19.32
5006465,"MUSHROOM, SLCD FRESH REF",1,1,0,CS,26.7500,26.75
5326418,"LETTUCE, RMN FRESH REF",1,1,0,CS,28.8400,28.84
6326698,"ONION, YLW WHL SPR COLSL 4 1/4",2,2,0,CS,28.9400,57.88
823021,"EGG, SHL MED GRD AA WHT LOOS",1,1,0,CS,32.3300,32.33
3340510,"CHEESE, AMER SLCD 120 CT TFF",1,1,0,CS,63.7200,63.72
5332630,"CHEESE, CHEDR MILD SHRD FTHR",2,2,0,CS,66.3300,132.66
6419501,"CHEESE, CHEDR YLW MILD SLCD Z",1,1,0,CS,41.7700,41.77
6758940,"ICE CREAM, VNL BEAN 15% BUTRFT",1,1,0,CS,58.2100,58.21
7071236,"BAR MIX, STWBY CTN GABLE TOP",1,1,0,CS,100.3800,100.38
9057316,"BAR MIX, LIME FOIL BAG SHLF",1,1,0,CS,96.8300,96.83
3749580,"MIX, GRVY BRN POUCH SHLF STABL",1,1,0,CS,32.6300,32.63
3852858,"TORTILLA, CHIP YLW CORN 6"" RAW",2,2,0,CS,33.6700,67.34
4352191,"SAUCE, MNARA TMTO CAN SHLF",1,1,0,CS,45.7700,45.77
5492673,"SALT, SHKR PLST",1,1,0,CS,22.3400,22.34
6329924,"SALT, TABLE IODZ BAG",1,1,0,CS,13.8100,13.81
6492672,"SPICE, PPR BLK GRND SHKR",1,1,0,CS,82.6500,82.65
7200736,"PICKLE, DILL CC CHIP 1/8""",2,2,0,CS,29.5000,59.00
8383283,"SUGAR, WHT CANE EX FINE BAG",2,2,0,CS,30.2000,60.40
8568531,"MAYONNAISE, SS POUCH SHLF",1,1,0,CS,28.3800,28.38
9837196,"SAUCE, CHILI SWT PLST JUG SHLF",1,1,0,CS,82.6200,82.62
4328910,"HOT DOG, AB 5:1 6"" RLR GRIL",1,1,0,CS,55.8600,55.86
5314208,"BEEF, CUTLT SLCT RAW FZN",2,2,0,CS,92.4400,184.88
2720977,"CHICKEN, BRST DBL RNDM BLS JMB",3,3,0,CS,58.9800,176.94
2725042,"CHICKEN, WING 1&2JT MED RAW",5,5,0,CS,70.0500,350.25
4661918,"SHRIMP, 16-20 WHT P&D T/ON NPA",1,1,0,CS,72.0300,72.03
6740178,"SHRIMP, 41-50 WHT P&D T/OF NPA",2,2,0,CS,59.9800,119.96
6911663,"PANGASIUS, STPED 5-7 Z FIL PBO",2,2,0,CS,42.2000,84.40
31765,"CAKE, CHOC GLZD 5 Z SS TRAY PK",1,1,0,CS,103.9000,103.90
1552124,"POTATO, FF SSTRG 1/4"" COATED",10,10,0,CS,44.5400,445.40
2633394,"BREAD, RYE MRBL 17 SLCD 5/8""",1,1,0,CS,53.3900,53.39
5602354,"APPETIZER, CHS MOZZ BRDD ITLN",1,1,0,CS,66.4800,66.48
6083968,"POTATO, TATER NUGT TFF PARFR",5,5,0,CS,69.0300,345.15
7979586,"POTATO, SWT FF WAFL CUT THIN",1,1,0,CS,44.6300,44.63
4647806,"DETERGENT, DISH MNL LIQ BTL",1,1,0,CS,62.9300,62.93
95745,"TISSUE, TLT JMB RL 3.3""X1000'",1,1,0,CS,50.2900,50.29
1201093,"CUP, PET PLST 20 Z SPCL PRINT",2,2,0,CS,125.3900,250.78
1851438,"CUP, SFLE PLYST 3.25 Z TNSLT",1,1,0,CS,63.0900,63.09
7008703,"BAG, T-SHIRT 11.5X6.5X21 PLYLN",1,1,0,CS,39.2900,39.29
7800469,"NAPKIN, BEV WHT 9.5X9.5 1 PLY",1,1,0,CS,19.5900,19.59
8609174,"TOWEL, PAPR 9X11 PERF RL WHT 2",1,1,0,CS,39.3900,39.39
2950343,"SCRUBBER, S/S 50 GR HD 400",1,1,0,EA,10.1100,10.11
