Product #,Product Name,Quantity
5360547,"AVOCADO, HASS BREAKER STAGE 2-3 #2 GRADE WHOLE 60 COUNT BOX FRESH REF",1.0
4725776,"CABBAGE, RED MEDIUM FRESH REF BAG",6.0
7331614,"CELERY, STICK 4 FRESH REF",1.0
1326438,"ONION, GREEN TRIMMED ICELESS FRESH REF SCALLION",1.25
4230900,"CILANTRO, FRESH HERB",1.5
3332830,"COLESLAW MIX, SHRED CABBAGE GREEN and RED W/ CARROT SEPARATE FRESH REF",4.0
823021,"EGG, SHELL MEDIUM GRADE AA WHITE LOOSE PACK FRESH",1.0
8340978,"CREAM, WHIPPING HEAVY 40% BUTTERFAT UHT DAIRY CARTON GABLE TOP REF",8.0
2326411,"LETTUCE, ICEBERG FRESH REF BOX",1.0
5326418,"LETTUCE, ROMAINE FRESH REF",1.0
2326445,"SALAD MIX, MESCLUN SPRING BAG FRESH REF LETTUCE",1.0
1049803,"LIME, #2 GRADE 230-250 COUNT FRESH REF BULK",0.76
3264931,"MARGARINE, SALTED TUB REF WHIPPED",9.0
315606,"MILK, BUTTERMILK BULGARIN REF",12.0
761940,"MILK, WHOLE PASTEURIZED RBST FREE VITAMIN D GRADE A JUG REF HOMOGENIZED",4.0
5006465,"MUSHROOM, SLICED FRESH REF",1.0
3331972,"MUSHROOM, WHITE EXTRA-LARGE #1 GRADE BOX FRESH REF",8.0
3037330,"PEPPER, CHILI SERRANO FRESH REF",1.0
6010482,"PEPPER, JALAPENO FRESH REF",0.0
2739175,"SOUR CREAM, CULTURED ALL NATURAL TUB REF",5.0
2331353,"TOMATO, ROUND 5X6 #1 GRADE FRESH REF BULK",0.0
4731741,"TOMATO, GRAPE RED FRESH REF BULK",0.5
3852858,"TORTILLA, CHIP YELLOW CORN 6 SHELF STABLE RAW 4 CUT",2.0
3016342,"ZUCCHINI, GREEN MEDIUM FRESH REF SQUASH",0.0
8327249,"CHEESE, PROVOLONE LOG PLASTIC WRAPPED REF",1.0
3340510,"CHEESE, AMERICAN SLICED 120 COUNT TFF PROCESSED YELLOW REF",4.0
5332630,"CHEESE, CHEDDAR MILD SHRED FEATHER YELLOW REF",10.0
6419501,"CHEESE, CHEDDAR YELLOW MILD SLICED .75 OZ TWIN PACK REF",5.0
6432884,"CHEESE, PEPPER JACK SLICED .75 OZ TWIN PACK REF",3.0
2466128,"CHEESE, SWISS SLICED 120 COUNT PROCESSED REF",4.0
7328537,"DRESSING, BLUE CHEESE CHUNKY REF PLASTIC JAR POURABLE",1.0
3328713,"DRESSING, 1000 ISLAND SHELF STABLE PLASTIC JAR TRADITIONAL",2.0
8329062,"DRESSING, FRENCH ORANGE TFF PLASTIC JAR SHELF STABLE",2.0
3213469,"DRESSING, HONEY MUSTARD SWEET REF PLASTIC JAR",2.0
1328608,"DRESSING, COLESLAW CREAMY SHELF STABLE PLASTIC JAR",3.0
5328406,"DRESSING, RANCH BUTTERMILK REF PLASTIC JAR HOMESTYLE",15.0
8025207,"CHICKEN, GIZZARD BONELESS RAW FROZEN",4.0
8366296,"SURIMI, IMITATION CRABMEAT CHUNK and FLAKE COOKED FROZEN VALUE MSC DOMESTIC",4.0
3138880,"SAUSAGE, CHORIZO PORK GROUND RAW FROZEN",2.0
1017127,"HAM, BONELESS BUFFET NATURAL-JUICE HARDWOOD SMOKED COOKED REF BAG 3-DIAMOND",1.0
616400,"ROLL, HOAGIE WHITE 3.5 OZ 8 SLICED COOKED BAKED FROZEN BAG HEARTH SUBMARIN",12.0
207498,"BREAD, WHEAT BERRY 17 SLICED 11/16 LOAF FROZEN",0.0
2633394,"BREAD, RYE MARBLE 17 SLICED 5/8 LOAF BAKED FROZEN",0.0
4320487,"CHILI, BEEF NO BEAN RTU TUB FROZEN",7.0
5602354,"APPETIZER, CHEESE MOZZARELLA BREADED ITALIAN STICK 3.25 TFF RAW FROZEN BAG",4.0
4182234,"APPETIZER, POTATO PEPPER CHEDDAR BREADED FROZEN SOUTHWESTERN MUNCHER",0.0
3041423,"CORN DOG, ALL-MEAT FROZEN",1.0
4328910,"HOT DOG, ALL-BEEF 5:1 6 ROLLER GRILL COOKED FROZEN",2.0
2725042,"CHICKEN, WING 1ST-and-2ND-JOINT MEDIUM RAW CVP REF UNFLAVORED",12.0
2720977,"CHICKEN, BREAST DOUBLE-LOBE RANDOM BONELESS SKINLESS RAW REF CVP JUMBO",5.0
2725661,"Chicken, Breast Double-lobe 6 Oz Boneless Skinless Ref Cvp",3.0
5314208,"BEEF, CUTLET SELECT RAW FROZEN",4.0
3408822,"BEEF, RIBEYE 112A 2X2 LIP-ON RAW REF VACUUM-PACK",0.0
4558003,"BEEF, PHILLY FLAT RAW 4 OZ FROZEN BAG SLICED SOLUTION ADDED MODERATELY",3.0
2571705,"BEEF, CHUCK SHOULDER CLOD CHOICE ANGUS 114 BONELESS RAW REF",0.0
6740178,"SHRIMP, 41-50 WHITE PEELED-and-DEVEINED TAIL-OFF RAW IQF FROZEN BAG NO-PHOS-A",4.0
6911663,"PANGASIUS, STRIPED 5-7 OZ FILLET PBO SKINLESS RAW IQF FROZEN FARMED SWAI",2.0
4661918,"SHRIMP, 16-20 WHITE PEELED-and-DEVEINED TAIL-ON RAW IMPORTED IQF FROZEN BAG F",3.0
1552124,"POTATO, FRENCH-FRY SHOESTRING 1/4 COATED CLEAR EXTRA-LONG-FANCY FROZEN",10.0
6083968,"POTATO, TATER NUGGET TFF PARFRIED FROZEN PUFF",5.0
7979586,"POTATO, SWEET FRENCH-FRY WAFFLE CUT THIN COATED FROZEN",2.0
6450068,"HUSH PUPPY, JALAPENO PARFRIED FROZEN BAG APPETIZER",1.0
1633130,"BACON,SLAB #2 CURED",3.0
2240046,"BACON, PORK END and PIECE REAL DICED .25 SMOKED CURED COOKED REF GAS FLUSHED",2.0
1321470,"BROWNIE, PECAN NOT ICED SHEET 1/2 24 SLICED TRAY FROZEN",48.0
6758940,"ICE CREAM, VANILLA BEAN 15% BUTTERFAT FROZEN PAPER TUB ALL NATURAL",0.0
766949,"ICE CREAM, CHOCOLATE TUB",1.0
843771,"TOPPING, WHIPPED NON-DAIRY ULTRA PASTEURIZED AEROSOL REF",6.0
9487478,"CHEESECAKE, RASPBERRY DONUT 10 14 SLICED TRAY FROZEN CAKE",2.0
755207,"CAKE, LAYER 2 CARROT ICED 9 14 SLICED GRANDMAS BOX FROZEN",0.0
31765,"CAKE, CHOCOLATE GLAZED 5 OZ SS TRAY PACK FROZEN MOLTEN",9.0
5182720,"BAR MIX, GRENADINE PLASTIC SHELF STABLE COCKTAIL",1.0
5308139,"JUICE, CLAMATO DRINK 34% ORIGINAL PET PLASTIC BOTTLE SHELF STABLE",1.0
4550881,"DRINK, SODA TONIC WATER CANADA DRY PET PLASTIC BOTTLE",18.0
4781939,"DRINK, SODA CLUB CANADA DRY PET PLASTIC BOTTLE",12.0
8915027,"STRAW, GIANT 7.75 BLACK UNWRAPPED STANDARD PLASTIC",17.0
3002128,"SALT, KOSHER NOT IODIZED GRANULATED COARSE BOX SHELF STABLE",3.0
3056553,"SUGAR, RAW CANE CRYSTAL BAG TURBINADO",9.0
2006625,"JUICE, PINEAPPLE 100% CAN SHELF STABLE",0.0
7221484,"JUICE, GRAPEFRUIT RUBY RED 100% PLASTIC BOTTLE SHELF STABLE",22.0
2327856,"JUICE, ORANGE 100% VITAMIN C ADDED ASEPTIC CARTON SHELF STABLE",0.0
6310726,"JUICE, CRANBERRY DRINK 27% BAR PAC MIXER PLASTIC BOTTLE SHELF STABLE",3.0
6033922,"BAR MIX, SWEET and SOUR LEMON SHELF STABLE COCKTAIL",3.0
9057316,"BAR MIX, LIME FOIL BAG SHELF STABLE COCKTAIL",10.0
18267,"BAR MIX, MARGARITA CONCENTRATE 7:1 PLASTIC BOTTLE SHELF STABLE COCKTAIL",4.0
3161452,"BAR MIX, MANGO PUREE CARTON GABLE TOP FROZEN SMOOTHIE COCKTAIL",6.0
6948384,"BAR MIX, PEACH CARTON GABLE TOP FROZEN SMOOTHIE COCKTAIL",11.0
6948426,"BAR MIX, PINA COLADA CARTON GABLE TOP FROZEN SMOOTHIE COCKTAIL",0.0
7071236,"BAR MIX, STRAWBERRY CARTON GABLE TOP FROZEN SMOOTHIE COCKTAIL",1.0
7800469,"NAPKIN, BEVERAGE WHITE 9.5X9.5 1 PLY PAPER 1/4 FOLD",0.0
3333705,"OLIVE, MANZANILLA GREEN STUFFED PIMIENTO 300-320 COUNT SHELF STABLE GLASS J",1.0
1205582,"STRAWBERRY, CLAMSHELL FRESH REF",3.0
2186153,"PINEAPPLE, GOLDEN FRESH REF",4.0
9357214,"ORANGE, NAVEL OR VALENCIA CHOICE 88 COUNT FRESH REF BOX",0.25
5881594,"CHERRY, MARASCHINO W/ STEM LARGE PLASTIC",2.0
8387194,"WATER, MINERAL GLASS BOTTLE",15.0
7804644,"CONTAINER, FOAM 9X9 1 CMPT WHITE 3.25H HINGED LID DUAL TAB OPTIONAL VENTIN",4.0
6617609,"CONTAINER, FOAM 6X6 1 CMPT WHITE 3H HINGED LID",3.0
6861538,"CONTAINER, PLASTIC 9 HEXAGON 1 CMPT BLACK HINGED LID CARRY-OUT",1.0
6861488,"CONTAINER, PLASTIC 7 HEXAGON 1 CMPT BLACK 3 H HINGED LID CARRY-OUT",0.0
738898,"BAG, CARRY-OUT 8 LB PAPER WHITE GROCERY",1.5
1310994,"BAG, FRENCH-FRY 5.5X4.5 PAPER WHITE GREASE RESISTANT",2.5
8917627,"KIT, CUTLERY SALT-and-PEPPER K-F-S NAP HEAVYWEIGHT BLACK POLYSTYRENE PLASTIC",1.5
7008703,"BAG, T-SHIRT 11.5X6.5X21 POLYETHYLENE WHITE THANK YOU STOCK PRINT 12 MIC CA",0.5
3136199,"SUGAR SUB, PINK SWEET and LOW 1 GR SS PACKET SACCHARIN",0.5
4329314,"MUSTARD, YELLOW SS POUCH",0.5
8568531,"MAYONNAISE, SS POUCH SHELF STABLE",0.5
9329384,"KETCHUP, TOMATO FANCY 33% SS FOIL PACKET SHELF STABLE",0.5
2835205,"BAG, FLATWARE 2.75X10 PAPER WHITE SILVERWARE",1.5
4261905,"PEPPER, JALAPENO SLICED NACHO MILD IN VINEGAR CAN SHELF STABLE",2.0
4352191,"SAUCE, MARINARA TOMATO CAN SHELF STABLE DELUXE",7.0
6329205,"BEAN, GREEN BLUE LAKE CUT 3-5 SIEVE EXTRA STANDARD CANNED",15.0
9329269,"TOMATO, WHOLE IN JUICE PEELED CANNED",0.0
9261892,"TOMATILLO, CRUSHED GREEN CANNED IMPORTED MEXICO",6.0
7200736,"PICKLE, DILL CRINKLE-CUT CHIP 1/8 PLASTIC SHELF STABLE",2.0
2353829,"FLOUR, ALL-PURPOSE",2.0
6329924,"SALT, TABLE IODIZED BAG",0.0
760827,"SPICE, PEPPER BLACK GROUND PLASTIC JUG 30M",0.0
8383283,"SUGAR, WHITE CANE EXTRA FINE BAG",1.0
8047557,"MIX, GRAVY PEPPER ADD WATER",9.0
