Product #,Product Name,Quantity
5360547,"AVOCADO, HASS BREAKER STAGE 2-3 #2 GRADE WHOLE 60 COUNT BOX FRESH REF",1.25
4725776,"CABBAGE, RED MEDIUM FRESH REF BAG",2
7331614,"CELERY, STICK 4 FRESH REF",0
1326438,"ONION, GREEN TRIMMED ICELESS FRESH REF SCALLION",0.25
4230900,"CILANTRO, FRESH HERB",0.5
3332830,"COLESLAW MIX, SHRED CABBAGE GREEN and RED W/ CARROT SEPARATE FRESH REF",1
823021,"EGG, SHELL MEDIUM GRADE AA WHITE LOOSE PACK FRESH",1.25
8340978,"CREAM, WHIPPING HEAVY 40% BUTTERFAT UHT DAIRY CARTON GABLE TOP REF",3
2326411,"LETTUCE, ICEBERG FRESH REF BOX",1.5
5326418,"LETTUCE, ROMAINE FRESH REF",1
2326445,"SALAD MIX, MESCLUN SPRING BAG FRESH REF LETTUCE",0
1049803,"LIME, #2 GRADE 230-250 COUNT FRESH REF BULK",1.5
3264931,"MARGARINE, SALTED TUB REF WHIPPED",4
315606,"MILK, BUTTERMILK BULGARIN REF",6
761940,"MILK, WHOLE PASTEURIZED RBST FREE VITAMIN D GRADE A JUG REF HOMOGENIZED",3.5
5006465,"MUSHROOM, SLICED FRESH REF",1
3331972,"MUSHROOM, WHITE EXTRA-LARGE #1 GRADE BOX FRESH REF",4
3037330,"PEPPER, CHILI SERRANO FRESH REF",1
6010482,"PEPPER, JALAPENO FRESH REF",0.5
2739175,"SOUR CREAM, CULTURED ALL NATURAL TUB REF",5
2331353,"TOMATO, ROUND 5X6 #1 GRADE FRESH REF BULK",1.5
4731741,"TOMATO, GRAPE RED FRESH REF BULK",0.25
3852858,"TORTILLA, CHIP YELLOW CORN 6 SHELF STABLE RAW 4 CUT",1
3016342,"ZUCCHINI, GREEN MEDIUM FRESH REF SQUASH",1
8327249,"CHEESE, PROVOLONE LOG PLASTIC WRAPPED REF",1
3340510,"CHEESE, AMERICAN SLICED 120 COUNT TFF PROCESSED YELLOW REF",3
5332630,"CHEESE, CHEDDAR MILD SHRED FEATHER YELLOW REF",5
6419501,"CHEESE, CHEDDAR YELLOW MILD SLICED .75 OZ TWIN PACK REF",2
6432884,"CHEESE, PEPPER JACK SLICED .75 OZ TWIN PACK REF",1
2466128,"CHEESE, SWISS SLICED 120 COUNT PROCESSED REF",3
7328537,"DRESSING, BLUE CHEESE CHUNKY REF PLASTIC JAR POURABLE",1
3328713,"DRESSING, 1000 ISLAND SHELF STABLE PLASTIC JAR TRADITIONAL",1
8329062,"DRESSING, FRENCH ORANGE TFF PLASTIC JAR SHELF STABLE",2
3213469,"DRESSING, HONEY MUSTARD SWEET REF PLASTIC JAR",1
1328608,"DRESSING, COLESLAW CREAMY SHELF STABLE PLASTIC JAR",3
5328406,"DRESSING, RANCH BUTTERMILK REF PLASTIC JAR HOMESTYLE",6
8025207,"CHICKEN, GIZZARD BONELESS RAW FROZEN",4
8366296,"SURIMI, IMITATION CRABMEAT CHUNK and FLAKE COOKED FROZEN VALUE MSC DOMESTIC",4
3138880,"SAUSAGE, CHORIZO PORK GROUND RAW FROZEN",2
1017127,"HAM, BONELESS BUFFET NATURAL-JUICE HARDWOOD SMOKED COOKED REF BAG 3-DIAMOND",1
616400,"ROLL, HOAGIE WHITE 3.5 OZ 8 SLICED COOKED BAKED FROZEN BAG HEARTH SUBMARIN",6
207498,"BREAD, WHEAT BERRY 17 SLICED 11/16 LOAF FROZEN",8
2633394,"BREAD, RYE MARBLE 17 SLICED 5/8 LOAF BAKED FROZEN",8
4320487,"CHILI, BEEF NO BEAN RTU TUB FROZEN",1
5602354,"APPETIZER, CHEESE MOZZARELLA BREADED ITALIAN STICK 3.25 TFF RAW FROZEN BAG",0
4182234,"APPETIZER, POTATO PEPPER CHEDDAR BREADED FROZEN SOUTHWESTERN MUNCHER",1
3041423,"CORN DOG, ALL-MEAT FROZEN",0.5
4328910,"HOT DOG, ALL-BEEF 5:1 6 ROLLER GRILL COOKED FROZEN",0.5
2725042,"CHICKEN, WING 1ST-and-2ND-JOINT MEDIUM RAW CVP REF UNFLAVORED",2
2720977,"CHICKEN, BREAST DOUBLE-LOBE RANDOM BONELESS SKINLESS RAW REF CVP JUMBO",1
2725661,"Chicken, Breast Double-lobe 6 Oz Boneless Skinless Ref Cvp",1
5314208,"BEEF, CUTLET SELECT RAW FROZEN",2
3408822,"BEEF, RIBEYE 112A 2X2 LIP-ON RAW REF VACUUM-PACK",6
4558003,"BEEF, PHILLY FLAT RAW 4 OZ FROZEN BAG SLICED SOLUTION ADDED MODERATELY",1
2571705,"BEEF, CHUCK SHOULDER CLOD CHOICE ANGUS 114 BONELESS RAW REF",0
6740178,"SHRIMP, 41-50 WHITE PEELED-and-DEVEINED TAIL-OFF RAW IQF FROZEN BAG NO-PHOS-A",3
6911663,"PANGASIUS, STRIPED 5-7 OZ FILLET PBO SKINLESS RAW IQF FROZEN FARMED SWAI",1
4661918,"SHRIMP, 16-20 WHITE PEELED-and-DEVEINED TAIL-ON RAW IMPORTED IQF FROZEN BAG F",1
1552124,"POTATO, FRENCH-FRY SHOESTRING 1/4 COATED CLEAR EXTRA-LONG-FANCY FROZEN",3
6083968,"POTATO, TATER NUGGET TFF PARFRIED FROZEN PUFF",1
7979586,"POTATO, SWEET FRENCH-FRY WAFFLE CUT THIN COATED FROZEN",1
6450068,"HUSH PUPPY, JALAPENO PARFRIED FROZEN BAG APPETIZER",1
1633130,"BACON,SLAB #2 CURED",1
2240046,"BACON, PORK END and PIECE REAL DICED .25 SMOKED CURED COOKED REF GAS FLUSHED",3
1321470,"BROWNIE, PECAN NOT ICED SHEET 1/2 24 SLICED TRAY FROZEN",96
6758940,"ICE CREAM, VANILLA BEAN 15% BUTTERFAT FROZEN PAPER TUB ALL NATURAL",0
766949,"ICE CREAM, CHOCOLATE TUB",2
843771,"TOPPING, WHIPPED NON-DAIRY ULTRA PASTEURIZED AEROSOL REF",6
9487478,"CHEESECAKE, RASPBERRY DONUT 10 14 SLICED TRAY FROZEN CAKE",2
755207,"CAKE, LAYER 2 CARROT ICED 9 14 SLICED GRANDMAS BOX FROZEN",1
31765,"CAKE, CHOCOLATE GLAZED 5 OZ SS TRAY PACK FROZEN MOLTEN",36
5182720,"BAR MIX, GRENADINE PLASTIC SHELF STABLE COCKTAIL",0
5308139,"JUICE, CLAMATO DRINK 34% ORIGINAL PET PLASTIC BOTTLE SHELF STABLE",5
4550881,"DRINK, SODA TONIC WATER CANADA DRY PET PLASTIC BOTTLE",12
4781939,"DRINK, SODA CLUB CANADA DRY PET PLASTIC BOTTLE",17
8915027,"STRAW, GIANT 7.75 BLACK UNWRAPPED STANDARD PLASTIC",6
3002128,"SALT, KOSHER NOT IODIZED GRANULATED COARSE BOX SHELF STABLE",4
3056553,"SUGAR, RAW CANE CRYSTAL BAG TURBINADO",11
2006625,"JUICE, PINEAPPLE 100% CAN SHELF STABLE",5
7221484,"JUICE, GRAPEFRUIT RUBY RED 100% PLASTIC BOTTLE SHELF STABLE",9
2327856,"JUICE, ORANGE 100% VITAMIN C ADDED ASEPTIC CARTON SHELF STABLE",-
6310726,"JUICE, CRANBERRY DRINK 27% BAR PAC MIXER PLASTIC BOTTLE SHELF STABLE",8
6033922,"BAR MIX, SWEET and SOUR LEMON SHELF STABLE COCKTAIL",0
9057316,"BAR MIX, LIME FOIL BAG SHELF STABLE COCKTAIL",4
18267,"BAR MIX, MARGARITA CONCENTRATE 7:1 PLASTIC BOTTLE SHELF STABLE COCKTAIL",3
3161452,"BAR MIX, MANGO PUREE CARTON GABLE TOP FROZEN SMOOTHIE COCKTAIL",13
6948384,"BAR MIX, PEACH CARTON GABLE TOP FROZEN SMOOTHIE COCKTAIL",12
