ProductNumber,ProductDescription,QtyOrder,QtyShip,QtyAdjust,PricingUnit,UnitPrice,ExtendedPrice
2326445,"SALAD MIX, MESCLUN SPRG BAG",1,1,0,CS,14.3300,14.33
2326700,"POTATO, RUSET ID. 40 CT FRESH",3,3,0,CS,21.1600,63.48
3037330,"PEPPER, CHILI SERRN FRESH REF",1,1,0,CS,16.3000,16.30
3331972,"MUSHROOM, WHT X-LG #1 GRD BOX",5,5,0,CS,32.9300,164.65
0,,0,0,0,,0.0000,0.00
4289443,"POTATO, YUKON GLD A SZ FRESH",1,1,0,CS,42.5500,42.55
5006465,"MUSHROOM, SLCD FRESH REF",1,1,0,CS,28.8900,28.89
5332630,"CHEESE, CHEDR MILD SHRD FTHR",1,1,0,CS,59.9000,59.90
7221484,"JUICE, GRPFT RUBY RED 100%",1,1,0,CS,35.2200,35.22
8387194,"WATER,MINRL GLS BTL",1,1,0,CS,33.2800,33.28
9206974,"TEA BAG, ICED BLK SWTND CFNTD",2,2,0,CS,40.5400,81.08
3264931,"MARGARINE, SALTD TUB REF WHPD",1,1,0,CS,41.7900,41.79
3749580,"MIX, GRVY BRN PHO-FREE SHLF",1,1,0,CS,30.5900,30.59
4352191,"SAUCE, MNARA TMTO CAN SHLF",1,1,0,CS,47.1400,47.14
5330949,"FLOUR, AP HOTEL & RSTNT FINE",6,6,0,CS,14.9900,89.94
5881594,"CHERRY, MRCNO W/ STEM LG PLST",1,1,0,EA,35.7900,35.79
6329924,"SALT, TABLE IODZ BAG",1,1,0,CS,13.0800,13.08
7200736,"PICKLE, DILL CC CHIP 1/8""",1,1,0,CS,29.9500,29.95
7248339,"MIX, DRSG RANCH 1 GAL YLD PKT",1,1,0,CS,60.3300,60.33
8383283,"SUGAR, WHT CANE GRAN",2,2,0,CS,37.6100,75.22
8866360,"SPICE, PPR BLK CRCKD BAG 25 M",1,1,0,CS,358.1900,358.19
2240046,"BACON, PORK END & PC REAL DCD",2,2,0,CS,79.1200,158.24
4558003,"BEEF, PHILY FLAT 4Z MODERATELY",2,2,0,CS,58.6200,117.24
5314208,"BEEF, CUTLT SLCT RAW FZN",2,2,0,CS,79.6000,159.20
2720977,"CHICKEN, BRST DBL RNDM BLS JMB",3,3,0,CS,72.2200,216.66
2725661,"CHICKEN, BRST DBL 6 Z BLSL RAW",1,1,0,CS,78.1600,78.16
6381750,"CHICKEN, WING 1&2JT MED RAW",10,10,0,CS,91.9900,919.90
6740178,"SHRIMP, 41-50 WHT P&D T/OF NPA",2,2,0,CS,59.6900,119.38
6911663,"PANGASIUS, STPED 5-7 Z FIL PBO",4,4,0,CS,44.9900,179.96
207498,"BREAD, WHEAT BRRY 17 SLCD",1,1,0,CS,48.3800,48.38
616400,"ROLL, HOGI WHT 3.5 Z 8"" HEARTH",1,1,0,CS,52.5000,52.50
1552124,"POTATO, FF SSTRG 1/4"" COATED",9,9,0,CS,44.5900,401.31
2633394,"BREAD, RYE MRBL 17 SLCD 5/8""",1,1,0,CS,52.4100,52.41
4320487,"CHILI, BF NO BEAN RTU TUB FZN",1,1,0,CS,84.3400,84.34
5328406,"DRESSING, RANCH BTRMLK REF JAR",2,2,0,CS,49.4200,98.84
5602354,"APPETIZER, CHS MOZZ BRDD ITLN",1,1,0,CS,64.7400,64.74
2835205,"BAG, FLTWR 2.75X10 PAPR WHT",1,1,0,CS,27.9900,27.99
3605755,"TRAY, PAPR FOOD .5 LB COTED",1,1,0,CS,41.2900,41.29
4818803,"WRAP, 12X12 WAX PAPR NTRL FLAT",1,1,0,CS,148.4900,148.49
7800469,"NAPKIN, BEV WHT 9.5X9.5 1 PLY",1,1,0,CS,21.3900,21.39
8869828,"NAPKIN, DISPR INFLD BRN",2,2,0,CS,28.7900,57.58
8917627,"KIT, CTLY S&P K-F-S NAP HW BLK",1,1,0,CS,39.9800,39.98
2950343,"SCRUBBER, S/S 50 GR HD 400",1,1,0,EA,9.1400,9.14
