ProductNumber,ProductDescription,QtyOrder,QtyShip,QtyAdjust,PricingUnit,UnitPrice,ExtendedPrice
5341169,"CLEANER, OVN & GRIL K13 LIQ",1,1,0,CS,76.4000,76.40
1049803,"LIME, #2 GRD 230-250 CT FRESH",2,2,0,CS,28.3600,56.72
2326445,"SALAD MIX, MESCLUN SPRG BAG",1,1,0,CS,16.4100,16.41
2326700,"POTATO, RUSET ID. 40 CT FRESH",3,3,0,CS,19.0700,57.21
3331972,"MUSHROOM, WHT X-LG #1 GRD BOX",3,3,0,CS,31.2500,93.75
3332830,"COLESLAW MIX, SHRD CBG GRN &",1,1,0,EA,8.1600,8.16
4230900,"CILANTRO, FRESH HERB",1,1,0,CS,28.0800,28.08
4326690,"ONION, RED JMB FRESH REF BAG",1,1,0,CS,26.4400,26.44
5006465,"MUSHROOM, SLCD FRESH REF",1,1,0,CS,28.1800,28.18
5326418,"LETTUCE, RMN FRESH REF",1,1,0,CS,43.7900,43.79
6326698,"ONION, YLW WHL SPR COLSL 4 1/4",2,2,0,CS,29.0700,58.14
7474968,"AVOCADO, HASS #2 GRD 48 CT",1,1,0,CS,59.2700,59.27
761940,"MILK, WHL PSTRD RBST FREE D A",1,1,0,CS,28.3500,28.35
766949,"ICE CREAM, CHOC TUB",1,1,0,CS,27.9200,27.92
190009,"KETCHUP, TMTO FCY 33% B-I-B",1,1,0,CS,28.1800,28.18
2353829,"FLOUR, AP",7,7,0,CS,20.3200,142.24
4261905,"PEPPER, JLP SLCD NACHO MILD IN",1,1,0,CS,39.0600,39.06
4364063,"MUSTARD, YLW PLST JAR SHLF",1,1,0,CS,28.8600,28.86
6329924,"SALT, TABLE IODZ BAG",1,1,0,CS,13.3300,13.33
7248339,"MIX, DRSG RANCH 1 GAL YLD PKT",1,1,0,CS,59.7500,59.75
7329113,"MAYONNAISE, XHVY PLST JUG SHLF",2,2,0,CS,44.5300,89.06
8003956,"SAUCE, TYKI GLAZ PLST JUG SHLF",1,1,0,EA,15.0200,15.02
9579777,"BASE, SOUP CHIX FLVR GRNLR",1,1,0,CS,75.5600,75.56
9837196,"SAUCE, CHILI SWT PLST JUG SHLF",1,1,0,CS,75.0800,75.08
1633130,"BACON,SLAB #2 CURED",3,3,0,CS,64.9700,194.91
2240046,"BACON, PORK END & PC REAL DCD",1,1,0,CS,79.1200,79.12
3041423,"CORN DOG, AM CN FZN",1,1,0,CS,52.9200,52.92
4558003,"BEEF, PHILY FLAT 4Z MODERATELY",1,1,0,CS,59.3200,59.32
5314208,"BEEF, CUTLT SLCT RAW FZN",2,2,0,CS,79.6000,159.20
2720977,"CHICKEN, BRST DBL RNDM BLS JMB",4,4,0,CS,73.0400,292.16
6381750,"CHICKEN, WING 1&2JT MED RAW",9,9,0,CS,48.1100,432.99
6740178,"SHRIMP, 41-50 WHT P&D T/OF NPA",1,1,0,CS,53.8900,53.89
6911663,"PANGASIUS, STPED 5-7 Z FIL PBO",2,2,0,CS,41.7200,83.44
1552124,"POTATO, FF SSTRG 1/4"" COATED",5,5,0,CS,44.5900,222.95
2633394,"BREAD, RYE MRBL 17 SLCD 5/8""",1,1,0,CS,51.9200,51.92
4320487,"CHILI, BF NO BEAN RTU TUB FZN",1,1,0,CS,83.5000,83.50
5602354,"APPETIZER, CHS MOZZ BRDD ITLN",1,1,0,CS,65.4300,65.43
7328537,"DRESSING, BLU CHS CHNKY REF",1,1,0,EA,24.3700,24.37
7979586,"POTATO, FF SWT THIN WAFL CUT",2,2,0,CS,46.6500,93.30
6750400,"CLEANER, AP WIPE POUCH WHT",1,1,0,CS,57.5000,57.50
1851438,"CUP, SFLE PLYST 3.25 Z TNSLT",1,1,0,CS,78.5900,78.59
7008703,"BAG, T-SHIRT 11.5X6.5X21 PLYLN",1,1,0,CS,31.1100,31.11
9625922,"TOWEL, PAPR 7.88X15 CENTERPULL",1,1,0,CS,32.9900,32.99
